City,Population,Lat,Long
Wülfrath,21100,51.2803,7.0350
Würselen,38598,50.8217,6.1321
Würzburg,127810,49.7913,9.9534
Xanten,21582,51.6571,6.4487
Zeitz,27976,51.0443,12.1403
Zerbst/Anhalt,21519,51.9669,12.0846
Zirndorf,26234,49.4446,10.9550
Zittau,24794,50.9000,14.8030
Zossen,21433,52.2170,13.4538
Zweibrücken,34534,49.2451,7.3634
Zwickau,87172,50.7102,12.4734
Zülpich,21025,50.6939,6.6550
Öhringen,25388,49.2,9.5
Übach-Palenberg,24215,50.933,6.1
Überlingen,23098,47.7662,9.1703
