City,Population,Lat,Long
Espelkamp,25174,52.3815,8.6210
Essen,584580,51.4556,7.0116
Esslingen am Neckar,94941,48.7433,9.3201
Ettlingen,39699,48.9432,8.3980
Euskirchen,59772,50.6574,6.7900
Falkensee,44806,52.5620,13.0770
Fellbach,45896,48.8216,9.2703
Filderstadt,46188,48.6782,9.2161
Flensburg,92550,54.7937,9.4470
Flörsheim am Main,21851,50.0124,8.4217
Forchheim,32972,49.7213,11.0699
Frankenthal,49051,49.5432,8.3512
Frankfurt am Main,773068,50.1109,8.6821
Frankfurt,58230,52.3472,14.5506
Frechen,52811,50.9122,6.8160
Freiberg,40485,50.9166,13.3417
Freiburg im Breisgau,236140,47.9990,7.8421
Freising,49339,48.4029,11.7412
Freital,39558,51.0009,13.6512
Freudenstadt,24301,48.4645,8.4180
Friedberg,30407,48.3560,10.9865
Friedberg,30818,50.3249,8.7409
Friedrichsdorf,25662,50.2538,8.6417
Friedrichshafen,62932,47.6618,9.4800
Friesoythe,22945,53.0245,7.8590
Fröndenberg/Ruhr,20548,51.5015,7.7484
Fulda,69968,50.5558,9.6808
Fürstenfeldbruck,37695,48.1739,11.2430
Fürstenwalde/Spree,32646,52.3680,14.0595
Fürth,131433,49.4771,10.9887
Gaggenau,30250,48.8036,8.3213
Ganderkesee,31939,53.0349,8.5427
Garbsen,61349,52.4273,9.5955
Gardelegen,22054,52.5268,11.4018
Garmisch-Partenkirchen,27482,47.4917,11.0955
Gauting,21276,48.0697,11.3784
Geesthacht,32336,53.4380,10.3612
Geestland,31507,53.6094,8.7944
Geilenkirchen,28252,50.9672,6.1175
Geislingen an der Steige,28655,48.6215,9.8294
Geldern,34298,51.5204,6.3258
Gelnhausen,23679,50.2046,9.1864
Gelsenkirchen,263000,51.5177,7.0857
Georgsmarienhütte,32190,52.2021,8.0492
Gera,93634,50.8851,12.0807
Geretsried,25623,47.8552,11.4872
Germering,41355,48.1352,11.3691
Germersheim,21099,49.2140,8.3668
Gersthofen,23274,48.4243,10.8763
Geseke,21685,51.6394,8.5068
Gevelsberg,31097,51.3221,7.3383
Giengen an der Brenz,20133,48.6224,10.2392
Gießen,94146,50.583,8.683
Gifhorn,43625,52.4809,10.5508
Gladbeck,75889,51.5707,6.9854
Glauchau,21951,50.8188,12.5452
Goch,35270,51.6800,6.1566
Goslar,50203,51.9060,10.4290
Gotha,46019,50.9469,10.7093
Greifswald,59691,54.0865,13.3923
Greiz,20397,50.6586,12.2077
Greven,38207,52.0965,7.6171
Grevenbroich,64596,51.0902,6.5859
Griesheim,27837,49.8614,8.5676
Grimma,28205,51.2364,12.7202
Gronau,49824,52.1841,7.0289
Groß-Gerau,26418,49.917,8.483
Groß-Umstadt,21028,49.867,8.933
Gummersbach,52001,51.0267,7.5693
Göppingen,59053,48.7054,9.6512
Görlitz,56574,51.1506,14.9687
Göttingen,118946,51.5413,9.9158
Günzburg,21486,48.4528,10.2775
Güstrow,29556,53.8032,12.1895
Gütersloh,102393,51.9032,8.3858
Haan,30542,51.1923,7.0066
Haar,22555,48.1104,11.7321
Hagen,189783,51.3671,7.4633
Halberstadt,40457,51.8949,11.0496
Halle,21970,52.0589,8.3598
Halle,242083,51.467,11.967
Haltern am See,38117,51.7446,7.1830
Hamburg,1892122,53.5502,9.9920
Hameln,57905,52.1083,9.3622
Hamm,180849,51.6739,7.8160
Hamminkeln,27248,51.7329,6.5955
Hanau,101364,50.1264,8.9283
Hann. Münden,23530,51.4193,9.6558
Hannover,545045,52.3759,9.7320
Haren,24498,52.7942,7.2368
Harsewinkel,25999,51.9643,8.2334
Hattersheim am Main,28528,50.0696,8.4872
Hattingen,54637,51.4018,7.1912
